,latitude,longitude,brightness,scan,track,date,confidence,bright_t31,frp,daynight,type,datetime,temperature,humidity,rain,stat_lat,stat_long,time_difference,new_latitude,new_longitude,new_time_difference,new_date,final_date
0,17.909018,98.198357,367,0.4,0.6,1332115200,0,304.43,7.68,0,0,19/3/2012 7:18,35.8,29.0,0.0,17.7979744,98.34144,26280,17.615204,98.285614,26156.754,1332141356.754,2012-03-19 07:15:56.753999872
1,16.743357,98.527969,367,0.34,0.56,1524614400,0,305.12,14.73,0,0,25/4/2018 6:00,28.0927112,74.8910155,0.15483871,16.7114864,98.5066496,21600,16.683378,98.64938,21850.02,1524636250.02,2018-04-25 06:04:10.020000000
2,17.424824,104.021927,367,0.38,0.58,1394323200,0,296.2,4.24,0,0,9/3/2014 5:42,27.0,77.0,0.15483871,17.372968,103.9843712,20520,17.419209,103.91859,23646.371,1394346846.371,2014-03-09 06:34:06.371000064
3,18.412813,100.647827,367,0.73,0.76,1331164800,0,290.59,27.7,0,0,8/3/2012 7:24,20.6,88.0,0.0,18.328064,100.7087104,26640,18.387728,100.71656,24412.262,1331189212.262,2012-03-08 06:46:52.262000128
4,17.124174,104.407318,367,0.45,0.47,1515456000,0,298.34,17.9,0,0,9/1/2018 5:48,24.0,100.0,0.15483871,17.079248,104.3258816,20880,17.119347,104.40026,21300.57,1515477300.57,2018-01-09 05:55:00.569999872
5,15.477562,98.579048,367,0.5,0.66,1364342400,0,302.66,20.24,0,0,27/3/2013 7:24,25.0,93.0,0.15483871,15.1954976,98.4612416,26640,15.4786825,98.559044,26536.377,1364368936.377,2013-03-27 07:22:16.377000192
6,15.527141,103.778831,367,0.34,0.56,1490140800,0,295.75,7.78,0,0,22/3/2017 5:42,28.0927112,74.8910155,0.15483871,15.3296832,103.6826112,20520,15.427614,103.67432,23623.21,1490164423.21,2017-03-22 06:33:43.210000128
7,18.332821,98.030655,367,0.43,0.46,1395532800,0,300.14,13.86,0,0,23/3/2014 6:18,22.5,77.0,0.0,18.1608768,97.9176064,22680,18.32352,97.912704,23383.895,1395556183.895,2014-03-23 06:29:43.895000064
8,15.597905,104.596428,367,0.47,0.64,1554768000,0,293.82,11.39,0,0,9/4/2019 7:00,27.6,82.0,0.0,15.7880544,104.6422336,25200,15.7546425,104.61472,24463.184,1554792463.184,2019-04-09 06:47:43.184000000
9,19.446447,101.000465,367,0.38,0.59,1458432000,0,300.41,15.09,0,0,20/3/2016 7:06,21.6,92.0,0.15483871,19.3866384,100.8758272,25560,19.448862,101.00394,25589.709,1458457589.709,2016-03-20 07:06:29.709000192
10,14.144092,100.790451,367,0.32,0.55,1642291200,0,299.99,5.51,0,0,16/1/2022 7:06,23.9,84.0,0.0,14.1613744,100.796192,25560,14.1633625,100.834526,25222.453,1642316422.453,2022-01-16 07:00:22.453000192
11,18.91523,98.382912,367,0.33,0.55,1331683200,0,299.48,9.82,0,0,14/3/2012 7:12,17.15,74.8910155,0.15483871,19.0012208,98.2711616,25920,18.911003,98.33765,25698.486,1331708898.486,2012-03-14 07:08:18.486000128
12,14.664997,99.094971,367,0.39,0.36,1518480000,0,310.59,12.81,0,0,13/2/2018 6:30,22.5,71.0,0.15483871,14.611464,99.1257472,23400,14.606701,99.12728,24065.148,1518504065.148,2018-02-13 06:41:05.148000000
13,18.213478,100.633484,367,0.45,0.63,1395273600,0,306.9,8.23,0,0,20/3/2014 7:18,26.5,70.0,0.15483871,18.2104624,100.6624384,26280,18.193989,100.63538,25736.64,1395299336.64,2014-03-20 07:08:56.640000000
14,17.841789,98.111748,367,0.43,0.46,1330560000,0,294.38,117.9,0,0,1/3/2012 6:12,28.0927112,74.8910155,0.15483871,17.7539088,97.9627456,22320,17.726326,98.07713,22343.527,1330582343.527,2012-03-01 06:12:23.527000064
15,20.260214,100.200882,367,0.36,0.58,1558310400,0,303.61,9.09,0,0,20/5/2019 5:48,29.5,56.7,0.15483871,20.2196864,100.121184,20880,20.138632,100.13609,23593.781,1558333993.781,2019-05-20 06:33:13.780999936
16,17.189024,99.169159,367,0.72,0.75,1487808000,0,307.27,16.0,0,0,23/2/2017 7:30,28.0927112,74.8910155,0.0,17.2605968,99.0778816,27000,17.22073,99.15896,23396.074,1487831396.074,2017-02-23 06:29:56.073999872
17,18.567905,100.560539,367,0.57,0.69,1330732800,0,290.57,17.07,0,0,3/3/2012 7:18,22.5,50.0,0.15483871,18.5536224,100.7147456,26280,18.54277,100.59081,21586.402,1330754386.402,2012-03-03 05:59:46.401999872
18,17.91869,98.220581,367,0.39,0.44,1395792000,0,346.23,95.02,0,0,26/3/2014 7:00,28.0927112,74.8910155,0.15483871,17.7979744,98.34144,25200,17.726992,98.26173,25283.129,1395817283.129,2014-03-26 07:01:23.128999936
19,16.26013,100.533875,367,0.33,0.56,1513728000,0,303.86,7.24,0,0,20/12/2017 7:06,17.5,63.4,0.15483871,16.1695984,100.5660096,25560,16.219086,100.58746,25494.521,1513753494.521,2017-12-20 07:04:54.520999936
